File_ID,Species,Run_Plate,UMAP1,UMAP2,UMAP3,Cluster,is_outlier,n_peaks,Cluster_Label,peak_id,mz_observed,intensity,snr,mz_theoretical,ppm_error,ptm_count,predicted_intensity,intensity_ratio,confidence_score,cluster_id,Confidence_Score,PPM_Error,mz,Centroid_F+16,Int_F+16,extraction_batch,spot,plate,century,period,PQI,PNI,COL3A1_Peaks,Fibre_Load,Dust_Load,Fetal_Markers,Gelatin_Correlation,Structure_Index,Predicted_d13C,Predicted_d15N,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,Age_Confidence,Ratio_QC,Gelatin_Index,PNI_NonNP,PNI_NP,Total_Ion_Count,Hydroxylation_Ratio,Starch_Plant_Source,Starch_Confidence,Starch_Signal,eggs_signal,eggs_num_matches,milk_signal,milk_num_matches,starch_signal,starch_num_matches,Cluster_ID,Centroid_A,Int_A,Centroid_B1,Int_B1,Centroid_E,Int_E,Centroid_G,Int_G,Centroid_B2,Int_B2,Centroid_F-16,Int_F-16,Centroid_D,Int_D,Centroid_F,Int_F,Centroid_C,Int_C,filename,marker_id_helical,species,gene,ptm_type,match_type,isotope_cluster,notes,Extracted_SampleID,SampleType,Gene,Marker_ID,sample_id,collection,codex,folium,Species_Predicted,Age_Category,Gelatin_Score,Age_Class,Disulfide_Status,Hydroxylation_Status,Starch_Detected,eggs_detected,milk_detected,starch_detected,Spectrum_Image,Quality_Image
63 146/F.txt,Unknown,,0.031570528,-0.54173857,0.21069539,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/63 146/F.txt_Spectrum.png,pipeline_output/report/2026_01_16/63 146/F.txt_Quality.png
63 6/H.txt,Unknown,,0.07730784,-0.35030252,0.3361713,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/63 6/H.txt_Spectrum.png,pipeline_output/report/2026_01_16/63 6/H.txt_Quality.png
65 130/H.txt,Unknown,,0.030575395,-0.6118997,0.108308636,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/65 130/H.txt_Spectrum.png,pipeline_output/report/2026_01_16/65 130/H.txt_Quality.png
67 149/H.txt,Unknown,,-0.059807647,-0.49700093,0.18881732,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/67 149/H.txt_Spectrum.png,pipeline_output/report/2026_01_16/67 149/H.txt_Quality.png
67 86/H.txt,Unknown,,-0.119862504,-0.69598407,0.0831998,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/67 86/H.txt_Spectrum.png,pipeline_output/report/2026_01_16/67 86/H.txt_Quality.png
Cod 65/77r/f.txt,Unknown,,0.36257634,-0.54161364,0.28184405,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/Cod 65/77r/f.txt_Spectrum.png,pipeline_output/report/2026_01_16/Cod 65/77r/f.txt_Quality.png
Cold 65 129/f.txt,Unknown,,0.24401684,-0.33286774,0.47470722,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/Cold 65 129/f.txt_Spectrum.png,pipeline_output/report/2026_01_16/Cold 65 129/f.txt_Quality.png
ET 1.txt,Unknown,,-0.20803359,-0.51755047,-2.4725635,5,False,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 1.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 1.txt_Quality.png
ET 10.txt,Unknown,,-1.203508,0.8574546,-0.6396341,-1,True,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 10.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 10.txt_Quality.png
ET 14.txt,Unknown,,2.3721797,1.205508,0.7162661,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 14.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 14.txt_Quality.png
ET 18.txt,Unknown,,2.4907763,1.0976977,0.7657543,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 18.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 18.txt_Quality.png
ET 2.txt,Unknown,,1.3727812,0.72747976,-0.53019446,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 2.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 2.txt_Quality.png
